total: 166
dlg_31100030                        | forage=False | group=Kraftfutter/Trocken            | me=30.60 | st=    0 | ndf=    0 | Sojabohne, ├ûl
dlg_31110030                        | forage=False | group=Kraftfutter/Trocken            | me=10.60 | st=   44 | ndf=  225 | Sonnenblume, Samen, Extraktionsschrot, aus gesch├ñlter Saat
dlg_31120030                        | forage=False | group=Kraftfutter/Trocken            | me= 9.50 | st=   38 | ndf=  389 | Sonnenblume, Samen, Extraktionsschrot, aus teilgesch├ñlter Saat
dlg_31130030                        | forage=False | group=Kraftfutter/Trocken            | me= 8.80 | st=   33 | ndf=  529 | Sonnenblume, Samen, Extraktionsschrot, schalenreich
dlg_31140030                        | forage=False | group=Kraftfutter/Trocken            | me=13.30 | st=   35 | ndf=  305 | Sonnenblume, Samen, Presskuchen
dlg_31150030                        | forage=False | group=Kraftfutter/Trocken            | me=15.30 | st=  100 | ndf=  254 | S├╝├ƒlupine blau, Samen nativ
dlg_31160030                        | forage=False | group=Kraftfutter/Trocken            | me=16.40 | st=   84 | ndf=  190 | S├╝├ƒlupine wei├ƒ, Samen nativ
dlg_31170030                        | forage=False | group=Kraftfutter/Trocken            | me=12.00 | st=  671 | ndf=   75 | Maniok, Tapioca Typ 55
dlg_31180030                        | forage=False | group=Kraftfutter/Trocken            | me=13.40 | st=  645 | ndf=  161 | Triticale, Samen
dlg_31190030                        | forage=False | group=Kraftfutter/Trocken            | me=13.20 | st=  622 | ndf=  142 | Weizen, Samen
dlg_31200030                        | forage=False | group=Kraftfutter/Trocken            | me=13.00 | st=   61 | ndf=  274 | Weizen, Samen, Kleber(futter?)
dlg_31210030                        | forage=False | group=Kraftfutter/Trocken            | me=11.70 | st=  292 | ndf=  408 | Weizen, Samen, Kleie
dlg_31220030                        | forage=False | group=Kraftfutter/Trocken            | me=11.80 | st=  194 | ndf=  396 | Weizen, Samen, Kleie
dlg_31230030                        | forage=False | group=Kraftfutter/Trocken            | me=12.30 | st=  226 | ndf=  275 | Weizen, Samen, Weizengrie├ƒkleie
dlg_31240030                        | forage=False | group=Kraftfutter/Trocken            | me=14.20 | st=    0 | ndf=  240 | Zitrusfrucht, Trester
dlg_41250012                        | forage=False | group=Kraftfutter/Feucht             | me=14.00 | st=  685 | ndf=  106 | Mais, K├Ârner mit Teilen der Spindel
dlg_41260020                        | forage=False | group=Kraftfutter/Feucht             | me=12.80 | st=  340 | ndf=  420 | Mais, Kleberfutter
dlg_41270020                        | forage=False | group=Kraftfutter/Feucht             | me=13.00 | st=  575 | ndf=  231 | Mais, Kolben mit Lieschen
dlg_41280030                        | forage=False | group=Kraftfutter/Feucht             | me=11.10 | st=    0 | ndf=    0 | Zuckerrohr, Melasse
dlg_41290030                        | forage=False | group=Kraftfutter/Feucht             | me=11.20 | st=    0 | ndf=    0 | Zuckerr├╝be, Melasse
dlg_41300010                        | forage=False | group=Kraftfutter/Feucht             | me= 9.80 | st=    0 | ndf=    0 | Milchzuckermelasse
dlg_41310010                        | forage=False | group=Kraftfutter/Feucht             | me=12.90 | st=    0 | ndf=    0 | Zuckerr├╝be, Dicksaft, Vinasse
dlg_51320030                        | forage=False | group=Kraftfutter/Trocken            | me=10.70 | st=    0 | ndf=    0 | Futterharnstoff
dlg_51330000                        | forage=False | group=Kraftfutter/Trocken            | me=15.60 | st=    0 | ndf=    0 | Glycerin, rein
dlg_51340000                        | forage=False | group=Kraftfutter/Trocken            | me=12.20 | st=    0 | ndf=    0 | Glycerin, roh
dlg_51350000                        | forage=False | group=Kraftfutter/Trocken            | me=14.80 | st=    0 | ndf=    0 | Propylenglykol
special_weide_mg_mineral            | forage=False | group=Zusatzstoffe                   | me= 0.50 | st=    0 | ndf=    0 | Weidemineral Mg/Na Ausgleich
special_summer_rumen_buffer         | forage=False | group=Zusatzstoffe                   | me= 0.00 | st=    0 | ndf=    0 | Pansenpuffer NaHCO3 (Sommerhitze)
