TABLE_NAME,COLUMN_NAME
ALLLISTEN_PROTOKOLLIERUNG,REPL_ID
ALLLISTEN_PROTOKOLLIERUNG,REPL_DATABASE
ALLLISTEN_ZEITEN,ID
ALLLISTEN_ZEITEN,DBID
ALLLISTEN_ZEITEN,LFDNR
ALLLISTEN_ZEITEN,DTVON
ALLLISTEN_ZEITEN,DTBIS
ALLLISTEN_ZEITEN,DTAUSFUEHRUNG
ALLLISTEN_ZEITEN,DTZULETZT
ALLLISTEN_ZEITEN,IDEF1
ALLLISTEN_ZEITEN,IDEF2
ALLLISTEN_ZEITEN,IDEF3
ALLLISTEN_ZEITEN,IDEF4
ALLLISTEN_ZEITEN,IDEF5
ALLLISTEN_ZEITEN,TRFIELD
ALLLISTEN_ZEITEN,REPL_ID
ALLLISTEN_ZEITEN,REPL_DATABASE
AMNERISAKTIONEN,ID
AMNERISAKTIONEN,DBID
AMNERISAKTIONEN,AKTIONSNR
AMNERISAKTIONEN,AKTIONSBEZEICHNUNG
AMNERISAKTIONEN,KONTAKTART
AMNERISAKTIONEN,DISPONENT
AMNERISAKTIONEN,TRFIELD
AMNERISAKTIONEN,REPL_ID
AMNERISAKTIONEN,REPL_DATABASE
AMNERISAKTIONEN,IGESCHST
AMNERISAKTIONENBEDIENER,ID
AMNERISAKTIONENBEDIENER,DBID
AMNERISAKTIONENBEDIENER,IDAMNERISAKTIONEN
AMNERISAKTIONENBEDIENER,DBIDAMNERISAKTIONEN
AMNERISAKTIONENBEDIENER,BEDIENERKURZ
AMNERISAKTIONENBEDIENER,TRFIELD
AMNERISAKTIONENBEDIENER,REPL_ID
AMNERISAKTIONENBEDIENER,REPL_DATABASE
AMPELREGELUNGEN,ID
AMPELREGELUNGEN,DBID
AMPELREGELUNGEN,SBEZEICHNUNG
AMPELREGELUNGEN,DBISSTD1
AMPELREGELUNGEN,DBISSTD2
AMPELREGELUNGEN,DBISSTD3
AMPELREGELUNGEN,SWERT1
AMPELREGELUNGEN,SWERT2
AMPELREGELUNGEN,SWERT3
AMPELREGELUNGEN,TRFIELD
AMPELREGELUNGEN,REPL_ID
AMPELREGELUNGEN,REPL_DATABASE
AMPELREGELUNGEN,ILOHNARTNR1
AMPELREGELUNGEN,ILOHNARTNR2
AMPELREGELUNGEN,ILOHNARTNR3
ANSICHT_GRUPPE,ID
ANSICHT_GRUPPE,DBID
ANSICHT_GRUPPE,ID_ANSICHT_PROFIL
ANSICHT_GRUPPE,DBID_ANSICHT_PROFIL
ANSICHT_GRUPPE,ID_SYSTEM
ANSICHT_GRUPPE,TRFIELD
ANSICHT_GRUPPE,REPL_ID
ANSICHT_GRUPPE,REPL_DATABASE
ANSICHT_PROFIL,ID
ANSICHT_PROFIL,DBID
